"","lat","long"
"83",51.5141983032,-0.0930999964476
"84",51.5141983032,-0.0930999964476
"85",37.3501014709,-121.985397339
"86",40.8325996399,-74.1306991577
"87",50.1166992188,8.68330001831
"88",48.8582000732,2.33870005608
"89",48.8582000732,2.33870005608
"90",48.8582000732,2.33870005608
"91",48.8582000732,2.33870005608
"92",48.8582000732,2.33870005608
"93",37.7268981934,112.470802307
"94",33.810798645,-117.916900635
"95",55.7386016846,37.6068000793
"96",51.5141983032,-0.0930999964476
"97",6.25180006027,-75.5635986328
"98",36.1749992371,-115.137199402
"99",36.1749992371,-115.137199402
"100",36.1749992371,-115.137199402
"101",36.1749992371,-115.137199402
"102",36.1749992371,-115.137199402
"103",36.1749992371,-115.137199402
"104",36.1749992371,-115.137199402
"105",36.1749992371,-115.137199402
"106",36.1749992371,-115.137199402
"107",36.1749992371,-115.137199402
"108",36.1749992371,-115.137199402
"109",36.1749992371,-115.137199402
"110",36.1749992371,-115.137199402
"111",36.1749992371,-115.137199402
"112",36.1749992371,-115.137199402
"113",36.1749992371,-115.137199402
"114",36.1749992371,-115.137199402
"115",36.1749992371,-115.137199402
"116",36.1749992371,-115.137199402
"117",36.1749992371,-115.137199402
"118",36.1749992371,-115.137199402
"119",36.1749992371,-115.137199402
"120",36.1749992371,-115.137199402
"121",36.1749992371,-115.137199402
"122",36.1749992371,-115.137199402
"123",36.1749992371,-115.137199402
"124",36.1749992371,-115.137199402
"125",36.1749992371,-115.137199402
"126",36.1749992371,-115.137199402
"127",36.1749992371,-115.137199402
"128",36.1749992371,-115.137199402
"129",36.1749992371,-115.137199402
"130",31.0456008911,121.39969635
"131",31.0456008911,121.39969635
"132",31.0456008911,121.39969635
"133",31.0456008911,121.39969635
"134",31.0456008911,121.39969635
"135",31.0456008911,121.39969635
"136",31.0456008911,121.39969635
"137",31.0456008911,121.39969635
"138",23.1166992188,113.25
"139",23.1166992188,113.25
"140",23.1166992188,113.25
"141",37.515499115,-121.896202087
"142",37.515499115,-121.896202087
"143",37.515499115,-121.896202087
"144",37.515499115,-121.896202087
"145",37.515499115,-121.896202087
"146",37.515499115,-121.896202087
"147",37.515499115,-121.896202087
"148",37.515499115,-121.896202087
"149",37.515499115,-121.896202087
"150",37.515499115,-121.896202087
"151",37.515499115,-121.896202087
"152",40.7001991272,-111.943397522
"153",40.7001991272,-111.943397522
"154",40.7001991272,-111.943397522
"155",40.7001991272,-111.943397522
"156",40.7001991272,-111.943397522
"157",40.7001991272,-111.943397522
"158",40.7001991272,-111.943397522
"159",40.7001991272,-111.943397522
"160",40.7001991272,-111.943397522
"161",41.8824996948,-87.6440963745
"162",41.8824996948,-87.6440963745
