"","SOURCE_IP","EXPORT_TIME","INTERFACE_ID","DESTINATION_IP","SOURCE_PORT","DESTINATION_PORT","PROTOCOL","REQUEST_TIME","LOG_ACTION","Reliability","Risk","Type","Country","Locale","Coords","x","simpletype"
"264","195.3.146.96","2018-03-19","eni-6aa7c76b","10.80.1.159",47221,6669,6,"2018-02-23","REJECT",4,2,"Malicious Host","LV","","57.0,25.0","3","Malicious Host"
"265","195.3.146.96","2018-03-19","eni-d9305775","10.80.11.80",47221,7779,6,"2018-02-24","REJECT",4,2,"Malicious Host","LV","","57.0,25.0","3","Malicious Host"
"266","195.3.146.96","2018-03-19","eni-6aa7c76b","10.80.1.159",47221,7701,6,"2018-02-23","REJECT",4,2,"Malicious Host","LV","","57.0,25.0","3","Malicious Host"
"267","195.3.146.96","2018-03-19","eni-d9305775","10.80.11.80",47221,3397,6,"2018-02-24","REJECT",4,2,"Malicious Host","LV","","57.0,25.0","3","Malicious Host"
"268","195.3.146.96","2018-03-19","eni-dd7ab728","10.83.11.120",47221,33102,6,"2018-02-24","REJECT",4,2,"Malicious Host","LV","","57.0,25.0","3","Malicious Host"
"269","195.3.146.96","2018-03-19","eni-f28fe32d","10.83.7.191",47221,3999,6,"2018-02-24","REJECT",4,2,"Malicious Host","LV","","57.0,25.0","3","Malicious Host"
"270","195.3.146.96","2018-03-19","eni-9b81d59a","10.80.0.84",47221,3302,6,"2018-02-24","REJECT",4,2,"Malicious Host","LV","","57.0,25.0","3","Malicious Host"
"271","195.3.146.96","2018-03-19","eni-f534ea00","10.80.10.223",47221,5007,6,"2018-02-24","REJECT",4,2,"Malicious Host","LV","","57.0,25.0","3","Malicious Host"
"272","195.3.146.96","2018-03-19","eni-3387459c","10.80.8.218",47221,5002,6,"2018-02-24","REJECT",4,2,"Malicious Host","LV","","57.0,25.0","3","Malicious Host"
"273","195.3.146.96","2018-03-19","eni-e1fff024","10.83.5.39",47221,33392,6,"2018-02-24","ACCEPT",4,2,"Malicious Host","LV","","57.0,25.0","3","Malicious Host"
